id,prompt,vote_consistency,vote_alignment,vote_quality,rater
humans_20,humans_20,flux_best,flux_best,flux_best,mgsong
animals_13,animals_13,flux_best,flux_best,characonsist,mgsong
animals_9,animals_9,flux_best,flux_best,flux_best,mgsong
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,mgsong
fantasy_2,fantasy_2,flux_best,flux_best,flux_best,mgsong
fairy_tales_19,fairy_tales_19,flux_best,flux_best,flux_best,mgsong
animals_0,animals_0,flux_best,flux_best,flux_best,mgsong
animals_14,animals_14,flux_best,flux_best,flux_best,mgsong
fairy_tales_0,fairy_tales_0,flux_best,flux_best,flux_best,mgsong
animals_7,animals_7,flux_best,flux_best,flux_best,mgsong
inanimate_6,inanimate_6,flux_best,flux_best,flux_best,mgsong
fairy_tales_38,fairy_tales_38,flux_best,flux_best,flux_best,mgsong
fantasy_13,fantasy_13,flux_best,flux_best,flux_best,mgsong
humans_14,humans_14,flux_best,flux_best,flux_best,mgsong
humans_9,humans_9,flux_best,flux_best,flux_best,mgsong
nature_34,nature_34,flux_best,flux_best,flux_best,mgsong
fairy_tales_1,fairy_tales_1,flux_best,flux_best,flux_best,mgsong
fairy_tales_10,fairy_tales_10,flux_best,flux_best,flux_best,mgsong
fantasy_7,fantasy_7,flux_best,flux_best,flux_best,mgsong
technoledge_0,technoledge_0,flux_best,flux_best,flux_best,mgsong
fantasy_4,fantasy_4,flux_best,flux_best,flux_best,mgsong
fantasy_1,fantasy_1,flux_best,flux_best,flux_best,mgsong
fairy_tales_12,fairy_tales_12,flux_best,flux_best,flux_best,mgsong
fantasy_14,fantasy_14,flux_best,flux_best,flux_best,mgsong
humans_1,humans_1,flux_best,flux_best,flux_best,mgsong
foods_12,foods_12,flux_best,flux_best,flux_best,mgsong
fantasy_11,fantasy_11,flux_best,flux_best,flux_best,mgsong
fairy_tales_30,fairy_tales_30,flux_best,flux_best,flux_best,mgsong
fairy_tales_11,fairy_tales_11,flux_best,flux_best,flux_best,mgsong
fairy_tales_17,fairy_tales_17,flux_best,flux_best,flux_best,mgsong
