id,prompt,vote_consistency,vote_alignment,vote_quality,rater
humans_14,humans_14,flux_best,flux_best,flux_best,srsong
humans_9,humans_9,flux_best,flux_best,characonsist,srsong
fantasy_11,fantasy_11,flux_best,characonsist,flux_best,srsong
fairy_tales_10,fairy_tales_10,flux_best,flux_best,flux_best,srsong
fairy_tales_1,fairy_tales_1,characonsist,flux_best,characonsist,srsong
foods_12,foods_12,flux_best,flux_best,flux_best,srsong
technoledge_2,technoledge_2,flux_best,flux_best,characonsist,srsong
humans_20,humans_20,flux_best,flux_best,flux_best,srsong
animals_7,animals_7,flux_best,flux_best,flux_best,srsong
fantasy_4,fantasy_4,flux_best,characonsist,flux_best,srsong
fairy_tales_30,fairy_tales_30,flux_best,flux_best,flux_best,srsong
animals_14,animals_14,flux_best,flux_best,flux_best,srsong
animals_13,animals_13,characonsist,characonsist,flux_best,srsong
fairy_tales_12,fairy_tales_12,flux_best,flux_best,flux_best,srsong
humans_1,humans_1,flux_best,flux_best,flux_best,srsong
fantasy_1,fantasy_1,flux_best,flux_best,flux_best,srsong
fairy_tales_11,fairy_tales_11,flux_best,characonsist,flux_best,srsong
fantasy_7,fantasy_7,flux_best,flux_best,flux_best,srsong
fairy_tales_38,fairy_tales_38,flux_best,characonsist,flux_best,srsong
inanimate_6,inanimate_6,characonsist,flux_best,characonsist,srsong
animals_0,animals_0,flux_best,flux_best,flux_best,srsong
fantasy_2,fantasy_2,characonsist,characonsist,flux_best,srsong
fantasy_13,fantasy_13,flux_best,flux_best,flux_best,srsong
fairy_tales_17,fairy_tales_17,characonsist,flux_best,flux_best,srsong
fantasy_14,fantasy_14,flux_best,characonsist,flux_best,srsong
fairy_tales_19,fairy_tales_19,flux_best,flux_best,flux_best,srsong
fairy_tales_0,fairy_tales_0,flux_best,flux_best,flux_best,srsong
nature_34,nature_34,flux_best,flux_best,flux_best,srsong
animals_9,animals_9,flux_best,characonsist,flux_best,srsong
technoledge_0,technoledge_0,flux_best,characonsist,characonsist,srsong
